count,ID (CQ & US),Description (Competency Questions and User Stories),Ind. priority,Global priority,Work package,Project partners involved,Workflow Specification,,,,,,,,,,,,,,,Concepts and Ontology Terms,Technical Implementation,,Related User Stories
,,,,,,,Required INPUT,,,,,"Workflow (processing, from INPUT -> OUTPUT)",,,Resulting OUTPUT,,,,,,,,,,
,,,,,,,"Data type and description (what is the ""input"" data about?)",From where do you get the data/material using which technology?,Who (project partner) provides the data/material?,Do you need the data/material in a specific structure/format/preparation?,How often do you need the data/material (data/material exchange frequency)?,Workflow name,Workflow description,What is the objective or goal of the workflow?,"Type of data/material and description (what is the ""output"" data/material about?)",Who (project partner) will use the data/material?,Do you provide the data/material in a specific structure/format?,How often do you provide the data/material (data/material exchange frequency)?,Where does the data/material go next? Does it need to be stored in a database? Or how do you make it available to others?,Does all the generated data/material need to be stored or only a summary?,"Should the data/material be stored permantly or only for a limited time? If only for a limited time, for how long?","Which concepts/terms are relevant for this CQ, which are needed for documenting and sharing data? ","Which type of database is based suited for the task (i.e., answering the CQ)?","Query for the CQ (in an specific format, e.g sql, sparql)",
1,IFNANO:01_CQ,What is the LIBS-Spectrum of a sample?,10,,4.1,IFNANO/DIK,identification of the sample,"from dik?, see next colum!. ",DIK/WP:4.1,,,,,Information of the sample properties for the Database to correlate with product properties,LIBS-Spectrum,"IFNANO, DIK, Database",,,database,,,,,,"IFNANO_US_14, IFNANO_US_15, IFNANO_US_16"
2,IFNANO:02_CQ,How homogeneous is the zinc concentration distributed over/in the sample?,10,,4.1,IFNANO/DIK,identification of the sample,,DIK/WP:4.1,,,,,"Information of the sample properties for the Database to correlate with product properties, i.e. output value is correlated to input values",either a distribution map of the zinc concentrations in the sample or a single number representing this information,"IFNANO, DIK, Database",,,LIBS-Spectra are obtained and analyzed. The results are uploaded into the Database.,,,,,,"IFNANO_US_14, IFNANO_US_15, IFNANO_US_16"
3,IFNANO:03_CQ,What is the distribution quality of zinc in the extrudate on the conveyor belt behind the extruder (during production)?,10,,4.1,IFNANO/DIK,velocity of the conveyor belt behind extruder.,"conveyor belt behind the extruder, using LIBS Spectra",DIK/IAPG/IMR,,,,,data submitted to the database to be correlated to the product properties.,spectral data that is analyzed by the algorithm,IFNANO/DIK,,,These are either submitted to the database and analyzed by the algorithm or analyzed by IFNANO,,,,,,"IFNANO_US_14, IFNANO_US_15, IFNANO_US_16"
4,IFNANO:04_CQ,What is the Raman-Spectrum of a raw rubber sample?,10,,1.2.2,IFNANO/DIK,Property profiles of raw materials,Raw rubber sample?,DIK,,,,,Adding Raman spectral data to the data base,Raman-Spectrum,IFNANO/DIK,,,"Receiving the raw samples from DIK, preparing samples for the measurement, acquiring Raman spectrum, and adding spectrum to the database]",,,,,,IFNANO_US_1-5 and IFNANO_US_11-13
5,IFNANO:05_CQ,What is the ATR-FTIR-Spectrum of a raw rubber sample?,10,,1.2.2,IFNANO/DIK,Property profiles of raw materials,,DIK,,,,,Adding MIR spectral data to the data base,MIR-Spectrum,IFNANO/DIK,,,"Receiving the raw samples from DIK, preparing samples for the measurement, acquiring ATR-FTIR spectrum, and adding spectrum to the database",,,,,,[IFNANO_US_1-5 and IFNANO_US_7-10
6,IFNANO:06_CQ,What is the correlation between Raman spectral data and the properties of raw rubber?,10,,1.2.3,IFNANO/DIK,Physicochemical material properties of raw rubber samples,"DIK, email",DIK/IFNANO,,,,,Extracting chemical constituents and analyzing the homogeneity of the sample,Raman data pre-treatment and data reduction,IFNANO/DIK,,,"smooth the spectra, correct baselines and normalize to a selected peak, and adding corrected spectrum to the database",,,,,,"[IFNANO_US_14, IFNANO_US_15, IFNANO_US_16"
,,,,,,,Raman spectral database,"DIK, email",DIK/IFNANO,,,,,,,,,,,,,,,,
7,IFNANO:07_CQ,What is the correlation between ATR-FTIR spectral data and the properties of raw rubber ?,10,,1.2.3,IFNANO/DIK,Physicochemical material properties of raw rubber samples,"DIK, email",DIK/IFNANO,,,,,Extracting chemical constituents and analyzing the homogeneity of the sample,MID-IR data pre-treatment and data reduction,DIK/IFNANO,,,"smooth the spectra, correct baselines and normalize to the highest peak, and adding corrected spectrum to the database",,,,,,
8,IFNANO:08_CQ,How can the raw samples be statistically discriminated?,10,,1.2.3,IFNANO/DIK,Physicochemical material properties of raw rubber samples,"DIK, email",DIK/IFNANO,,,,,Data reduction through chemometric methods,chemometric data,DIK/IFNANO,,,MIR spectra are reduced to main components or PLS factors and these are correlated with the rheological properties,,,,,,
,,,,,,,ATR-FTIR spectral database,"DIK, email",DIK/IFNANO,,,,,,,,,,,,,,,,
9,IFNANO:09_CQ,What is a photometric measurement of a raw rubber sample?,10,,1.2.4,IFNANO/DIK/JADE,Property profiles of raw materials,"DIK, email",DIK,,,,,Adding photometric data in the form of a standardized photographic images including meta data in to the data base,Photo,DIK/IFNANO,,,"Receiving the raw samples from DIK, preparing samples for the measurement, acquiring photometric data, and adding images including meta data to the database",,,,,,
