,Class,Label,Definition
0,APOLLO_SV_00000008,software development,A planned process that has specified output a software product and that involves the creation of source code.
1,APOLLO_SV_00000796,dataset creating,A planned process that has a data set as its specified output.
2,BFO_0000023,role,"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts."
3,CHEBI_133602,carbon black nanoparticle,Any form of carbon black which has a particle size of less than 100 nm in each dimension.
4,CHEBI_17514,cyanide,A pseudohalide anion that is the conjugate base of hydrogen cyanide.
5,CHEBI_22563,anion,A monoatomic or polyatomic species having one or more elementary charges of the electron.
6,CHEBI_23367,molecular entity,"Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity."
7,CHEBI_24431,chemical entity,"A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances."
8,CHEBI_24532,organic heterocyclic compound,A cyclic compound having as ring members atoms of carbon and at least of one other element.
9,CHEBI_24870,ion,A molecular entity having a net electric charge.
10,CHEBI_25367,molecule,Any polyatomic entity that is an electrically neutral entity consisting of more than one atom.
11,CHEBI_25696,organic anion,Any organic ion with a net negative charge.
12,CHEBI_28798,rubber particle  [chebi],A polymer consisting of cis-linked prenyl units.
13,CHEBI_33259,elemental molecular entity,A molecular entity all atoms of which have the same atomic number.
14,CHEBI_33261,organosulfur compound,An organosulfur compound is a compound containing at least one carbon-sulfur bond.
15,CHEBI_33273,polyatomic anion,An anion consisting of more than one atom.
16,CHEBI_33285,heteroorganic entity,A heteroorganic entity is an organic molecular entity in which carbon atoms or organic groups are bonded directly to one or more heteroatoms.
17,CHEBI_33302,pnictogen molecular entity,A p-block molecular entity containing any pnictogen.
18,CHEBI_33304,chalcogen molecular entity,Any p-block molecular entity containing a chalcogen.
19,CHEBI_33579,main group molecular entity,"A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table."
20,CHEBI_33595,cyclic compound,Any molecule that consists of a series of atoms joined together to form a ring.
21,CHEBI_33655,aromatic compound,A cyclically conjugated molecular entity with a stability (due to delocalization) significantly greater than that of a hypothetical localized structure (e.g. Kekule structure) is said to possess aromatic character.
22,CHEBI_33675,p-block molecular entity,A main group molecular entity that contains one or more atoms of a p-block element.
23,CHEBI_33832,organic cyclic compound,Any organic molecule that consists of atoms connected in the form of a ring.
24,CHEBI_33833,heteroarene,"A heterocyclic compound formally derived from an arene by replacement of one or more methine (-C=) and/or vinylene (-CH=CH-) groups by trivalent or divalent heteroatoms, respectively, in such a way as to maintain the continuous pi-electron system characteristic of aromatic systems and a number of out-of-plane pi-electrons corresponding to the Hueckel rule (4n+2)."
25,CHEBI_35352,organonitrogen compound,Any heteroorganic entity containing at least one carbon-nitrogen bond.
26,CHEBI_35489,organic disulfide,Compounds of structure RSSR in which R and R' are organic groups.
27,CHEBI_36357,polyatomic entity,Any molecular entity consisting of more than one atom.
28,CHEBI_36358,polyatomic ion,An ion consisting of more than one atom.
29,CHEBI_36962,organochalcogen compound,An organochalcogen compound is a compound containing at least one carbon-chalcogen bond.
30,CHEBI_38101,organonitrogen heterocyclic compound,Any organonitrogen compound containing a cyclic component with nitrogen and at least one other element as ring member atoms.
31,CHEBI_48343,disulfide,Compounds of structure RSSR'.
32,CHEBI_50795,nanostructure,A nanometre sized object.
33,CHEBI_50803,nanoparticle,A nanosized spherical or capsule-shaped structure.
34,CHEBI_50860,organic molecular entity,Any molecular entity that contains carbon.
35,CHEBI_5686,heterocyclic compound,A cyclic compound having as ring members atoms of at least two different elements.
36,CHEBI_59999,chemical substance,"A chemical substance is a portion of matter of constant composition, composed of molecular entities of the same type or of different types."
37,CHEBI_60004,mixture,"A mixture is a chemical substance composed of multiple molecules, at least two of which are of a different kind."
38,CHEBI_68452,azole,"Any monocyclic heteroarene consisting of a five-membered ring containing nitrogen. Azoles can also contain one or more other non-carbon atoms, such as nitrogen, sulfur or oxygen."
39,CHEBI_72695,organic molecule,Any molecule that consists of at least one carbon atom as part of the electrically neutral entity.
40,CHEBI_84291,organic sulfur anion,An organic anion in which the charge resides on a sulfur atom.
41,CHEBI_84292,dithiocarbamate anions,Any organic sulfur anion resulting from the removal of a proton from any N-substituted dithiocarbamic acid.
42,GO_0003674,molecular_function,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process."
43,GO_0016301,kinase activity,"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
44,IAO_0000003,measurement unit label,A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.
45,IAO_0000009,datum label,A label is a symbol that is part of some other datum and is used to either partially define  the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label
46,IAO_0000010,software,"Software is a plan specification composed of a series of instructions that can be 
interpreted by or directly executed by a processing unit."
47,IAO_0000015,information carrier,A quality of an information bearer that imparts the information content
48,IAO_0000027,data item,"An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements."
49,IAO_0000037,dot plot,A dot plot is a report graph which is a graphical representation of data where each data point is represented by a single dot placed on coordinates corresponding to data point values in particular dimensions.
50,IAO_0000038,graph,A diagram that presents one or more tuples of information by mapping those tuples in to a two dimensional space in a non arbitrary way.
