Label	Definition
software development	A planned process that has specified output a software product and that involves the creation of source code.
dataset creating	A planned process that has a data set as its specified output.
role	A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.
carbon black nanoparticle	Any form of carbon black which has a particle size of less than 100 nm in each dimension.
cyanide	A pseudohalide anion that is the conjugate base of hydrogen cyanide.
anion	A monoatomic or polyatomic species having one or more elementary charges of the electron.
molecular entity	Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity.
chemical entity	A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.
organic heterocyclic compound	A cyclic compound having as ring members atoms of carbon and at least of one other element.
ion	A molecular entity having a net electric charge.
molecule	Any polyatomic entity that is an electrically neutral entity consisting of more than one atom.
organic anion	Any organic ion with a net negative charge.
rubber particle  [chebi]	A polymer consisting of cis-linked prenyl units.
elemental molecular entity	A molecular entity all atoms of which have the same atomic number.
organosulfur compound	An organosulfur compound is a compound containing at least one carbon-sulfur bond.
polyatomic anion	An anion consisting of more than one atom.
heteroorganic entity	A heteroorganic entity is an organic molecular entity in which carbon atoms or organic groups are bonded directly to one or more heteroatoms.
pnictogen molecular entity	A p-block molecular entity containing any pnictogen.
chalcogen molecular entity	Any p-block molecular entity containing a chalcogen.
main group molecular entity	A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table.
cyclic compound	Any molecule that consists of a series of atoms joined together to form a ring.
aromatic compound	A cyclically conjugated molecular entity with a stability (due to delocalization) significantly greater than that of a hypothetical localized structure (e.g. Kekule structure) is said to possess aromatic character.
p-block molecular entity	A main group molecular entity that contains one or more atoms of a p-block element.
organic cyclic compound	Any organic molecule that consists of atoms connected in the form of a ring.
heteroarene	A heterocyclic compound formally derived from an arene by replacement of one or more methine (-C=) and/or vinylene (-CH=CH-) groups by trivalent or divalent heteroatoms, respectively, in such a way as to maintain the continuous pi-electron system characteristic of aromatic systems and a number of out-of-plane pi-electrons corresponding to the Hueckel rule (4n+2).
organonitrogen compound	Any heteroorganic entity containing at least one carbon-nitrogen bond.
organic disulfide	Compounds of structure RSSR in which R and R' are organic groups.
polyatomic entity	Any molecular entity consisting of more than one atom.
polyatomic ion	An ion consisting of more than one atom.
organochalcogen compound	An organochalcogen compound is a compound containing at least one carbon-chalcogen bond.
organonitrogen heterocyclic compound	Any organonitrogen compound containing a cyclic component with nitrogen and at least one other element as ring member atoms.
disulfide	Compounds of structure RSSR'.
nanostructure	A nanometre sized object.
nanoparticle	A nanosized spherical or capsule-shaped structure.
organic molecular entity	Any molecular entity that contains carbon.
heterocyclic compound	A cyclic compound having as ring members atoms of at least two different elements.
chemical substance	A chemical substance is a portion of matter of constant composition, composed of molecular entities of the same type or of different types.
mixture	A mixture is a chemical substance composed of multiple molecules, at least two of which are of a different kind.
azole	Any monocyclic heteroarene consisting of a five-membered ring containing nitrogen. Azoles can also contain one or more other non-carbon atoms, such as nitrogen, sulfur or oxygen.
organic molecule	Any molecule that consists of at least one carbon atom as part of the electrically neutral entity.
organic sulfur anion	An organic anion in which the charge resides on a sulfur atom.
dithiocarbamate anions	Any organic sulfur anion resulting from the removal of a proton from any N-substituted dithiocarbamic acid.
molecular_function	A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process.
kinase activity	Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule.
measurement unit label	A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.
datum label	A label is a symbol that is part of some other datum and is used to either partially define  the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label
software	"Software is a plan specification composed of a series of instructions that can be 
interpreted by or directly executed by a processing unit."
information carrier	A quality of an information bearer that imparts the information content
data item	An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.
dot plot	A dot plot is a report graph which is a graphical representation of data where each data point is represented by a single dot placed on coordinates corresponding to data point values in particular dimensions.
graph	A diagram that presents one or more tuples of information by mapping those tuples in to a two dimensional space in a non arbitrary way.
algorithm	A plan specification which describes the inputs and output of mathematical functions as well as workflow of execution for achieving an predefined objective. Algorithms are realized usually by means of implementation as computer programs for execution by automata.
curation status specification	The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.
data set	A data item that is an aggregate of other data items of the same type that have something in common. Averages and distributions can be determined for data sets.
